test_id,type,status,order_ok,order_error,onset_idx,onset_time_s,onset_value_N,min_force_idx,min_force_time_s,min_force_value_N,p1_idx,p1_time_s,p1_value_N,p2_idx,p2_time_s,p2_value_N,take_off_idx,take_off_time_s,take_off_value_N,landing_idx,landing_time_s,landing_value_N,key_points_count
69a0245e9eed9d3f2a5187a1,cmj,ok,True,,1855,1.8487,5661.043005346077,2002,1.9952,3413.7400228653114,2291,2.2832,13347.481176787884,2404,2.3958,12487.609998752841,2877,2.8672,603.491970571533,2935,2.925,557.4930714065708,6
69a0246d9eed9d3f2a5187a2,cmj,ok,True,,1416,1.4118,5646.736392449337,1564,1.5593,1418.6314936925933,1760,1.7547,14324.226033904672,2482,2.4746,16945.534597012604,2716,2.7079,3893.4589368097404,2823,2.8146,3888.6256907846455,6
69a02e5a6ec7b67d7d87537d,cmj,ok,True,,1283,1.2817,6784.674347144245,1507,1.5055,4608.663948189518,1919,1.9171,14672.620532805058,2813,2.8102,20823.60411772499,3076,3.0729,4747.57069112569,3162,3.1588,4754.239418170817,6
69a02e746ec7b67d7d87537e,cmj,ok,True,,1281,1.2761,7007.144221594844,1413,1.4076,1965.8932792674518,2058,2.0502,14749.342126137066,2733,2.7226,22367.490130432117,2964,2.9527,4802.520132395538,3043,3.0314,4801.621617311287,6
69a02e946ec7b67d7d87537f,cmj,ok,True,,1637,1.6272,6613.63074150687,1731,1.7207,2411.7871218848086,2066,2.0537,17726.840613177563,2771,2.7545,25065.689889584373,3012,2.994,3714.820412319072,3070,3.0517,3710.0056537709484,6
69a02f476ec7b67d7d875384,cmj,ok,True,,1840,1.8418,5929.902804756056,2000,2.002,2581.645635234602,2292,2.2943,14436.08890234133,2421,2.4234,12546.61412253582,2917,2.9199,625.2630986697335,2974,2.977,546.4016872834354,6
69a02f616ec7b67d7d875385,cmj,ok,True,,1049,1.0465,5964.4950237800385,1205,1.2021,1570.3414825567675,1434,1.4306,15868.310057826633,,,,1656,1.652,627.8896892868603,2117,2.1119,580.8012597218053,5
69a02f6f6ec7b67d7d875386,cmj,ok,True,,1542,1.5371,5863.968256273595,1723,1.7175,2435.8580621450715,2000,1.9936,15138.691508080106,2137,2.1302,12617.939601770093,2641,2.6326,628.097703780352,2706,2.6974,601.9456275541181,6
69a030256ec7b67d7d87538b,cmj,ok,True,,1295,1.2979,708.609206157859,1316,1.3189,10.333539053798477,1664,1.6677,684.9357621162427,1830,1.834,23121.64446414134,1992,1.9964,2915.5618875539976,2082,2.0866,2910.82553371668,6
69a0303f6ec7b67d7d87538c,cmj,ok,True,,1432,1.4352,2793.199348044137,1469,1.4722,-72.31010133234358,1844,1.8481,610.4573358263526,2013,2.0174,24727.90815652242,2204,2.2089,4510.103081763175,2316,2.3211,4505.14482692975,6
